Category: All categories

Week,beer: (United States)
2015-03-01,64
2015-03-08,68
2015-03-15,76
2015-03-22,66
2015-03-29,68
2015-04-05,76
2015-04-12,67
2015-04-19,69
2015-04-26,68
2015-05-03,69
2015-05-10,69
2015-05-17,71
2015-05-24,78
2015-05-31,74
2015-06-07,78
2015-06-14,79
2015-06-21,81
2015-06-28,87
2015-07-05,78
2015-07-12,81
2015-07-19,86
2015-07-26,83
2015-08-02,86
2015-08-09,91
2015-08-16,83
2015-08-23,78
2015-08-30,76
2015-09-06,79
2015-09-13,75
2015-09-20,75
2015-09-27,72
2015-10-04,71
2015-10-11,71
2015-10-18,69
2015-10-25,66
2015-11-01,63
2015-11-08,64
2015-11-15,63
2015-11-22,72
2015-11-29,63
2015-12-06,66
2015-12-13,69
2015-12-20,80
2015-12-27,78
2016-01-03,62
2016-01-10,63
2016-01-17,69
2016-01-24,68
2016-01-31,67
2016-02-07,72
2016-02-14,70
2016-02-21,69
2016-02-28,67
2016-03-06,69
2016-03-13,81
2016-03-20,75
2016-03-27,73
2016-04-03,85
2016-04-10,74
2016-04-17,72
2016-04-24,72
2016-05-01,73
2016-05-08,75
2016-05-15,80
2016-05-22,82
2016-05-29,88
2016-06-05,84
2016-06-12,83
2016-06-19,84
2016-06-26,85
2016-07-03,88
2016-07-10,80
2016-07-17,81
2016-07-24,81
2016-07-31,82
2016-08-07,74
2016-08-14,74
2016-08-21,75
2016-08-28,75
2016-09-04,77
2016-09-11,75
2016-09-18,74
2016-09-25,74
2016-10-02,74
2016-10-09,71
2016-10-16,69
2016-10-23,70
2016-10-30,66
2016-11-06,62
2016-11-13,66
2016-11-20,75
2016-11-27,64
2016-12-04,66
2016-12-11,68
2016-12-18,78
2016-12-25,75
2017-01-01,67
2017-01-08,66
2017-01-15,67
2017-01-22,66
2017-01-29,68
2017-02-05,70
2017-02-12,68
2017-02-19,70
2017-02-26,69
2017-03-05,70
2017-03-12,80
2017-03-19,72
2017-03-26,72
2017-04-02,81
2017-04-09,76
2017-04-16,73
2017-04-23,73
2017-04-30,76
2017-05-07,74
2017-05-14,78
2017-05-21,80
2017-05-28,88
2017-06-04,89
2017-06-11,90
2017-06-18,87
2017-06-25,87
2017-07-02,100
2017-07-09,86
2017-07-16,85
2017-07-23,86
2017-07-30,87
2017-08-06,82
2017-08-13,76
2017-08-20,76
2017-08-27,72
2017-09-03,77
2017-09-10,71
2017-09-17,74
2017-09-24,76
2017-10-01,72
2017-10-08,71
2017-10-15,69
2017-10-22,68
2017-10-29,68
2017-11-05,65
2017-11-12,65
2017-11-19,76
2017-11-26,64
2017-12-03,66
2017-12-10,69
2017-12-17,76
2017-12-24,77
2017-12-31,69
2018-01-07,61
2018-01-14,67
2018-01-21,67
2018-01-28,68
2018-02-04,70
2018-02-11,63
2018-02-18,67
2018-02-25,66
2018-03-04,69
2018-03-11,77
2018-03-18,73
2018-03-25,75
2018-04-01,78
2018-04-08,75
2018-04-15,71
2018-04-22,74
2018-04-29,73
2018-05-06,71
2018-05-13,73
2018-05-20,80
2018-05-27,84
2018-06-03,84
2018-06-10,88
2018-06-17,83
2018-06-24,84
2018-07-01,95
2018-07-08,85
2018-07-15,84
2018-07-22,82
2018-07-29,84
2018-08-05,83
2018-08-12,79
2018-08-19,76
2018-08-26,74
2018-09-02,75
2018-09-09,70
2018-09-16,75
2018-09-23,77
2018-09-30,75
2018-10-07,74
2018-10-14,71
2018-10-21,67
2018-10-28,65
2018-11-04,64
2018-11-11,64
2018-11-18,72
2018-11-25,62
2018-12-02,65
2018-12-09,67
2018-12-16,75
2018-12-23,83
2018-12-30,76
2019-01-06,65
2019-01-13,65
2019-01-20,66
2019-01-27,66
2019-02-03,70
2019-02-10,64
2019-02-17,66
2019-02-24,68
2019-03-03,67
2019-03-10,73
2019-03-17,76
2019-03-24,72
2019-03-31,72
2019-04-07,73
2019-04-14,72
2019-04-21,72
2019-04-28,71
2019-05-05,73
2019-05-12,74
2019-05-19,78
2019-05-26,86
2019-06-02,79
2019-06-09,83
2019-06-16,83
2019-06-23,84
2019-06-30,91
2019-07-07,79
2019-07-14,81
2019-07-21,83
2019-07-28,83
2019-08-04,80
2019-08-11,80
2019-08-18,76
2019-08-25,72
2019-09-01,74
2019-09-08,67
2019-09-15,69
2019-09-22,70
2019-09-29,70
2019-10-06,68
2019-10-13,69
2019-10-20,66
2019-10-27,64
2019-11-03,61
2019-11-10,61
2019-11-17,62
2019-11-24,70
2019-12-01,57
2019-12-08,63
2019-12-15,66
2019-12-22,78
2019-12-29,70
2020-01-05,60
2020-01-12,62
2020-01-19,64
2020-01-26,66
2020-02-02,66
2020-02-09,65
2020-02-16,68
2020-02-23,87
