Season,Pre-Oct,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Total
1969-70,22,0,0,41,78,30.5,46,27,0,0,0,244.5
1970-71,60,0,0,109,29,19.5,24,14,0,0,0,255.5
1971-72,22,0,9,139.8,32.2,11,1,53.5,0,0,0,268.5
1972-73,4,0,57.1,64.5,84.9,103,43,10,4,0,0,370.5
1973-74,45,0,0,45,87.5,9,82,38,0,0,0,306.5
1974-75,15,0,13,58.5,26,101,90,75,0,0,0,378.5
1975-76,27,0,0,14.5,13.5,54,50,38.5,0,0,0,197.5
1976-77,4,0,0,0,26,27,37,0,0,0,0,94
1977-78,6,0,26,98,95.5,97,85.5,78.5,1,0,0,487.5
1978-79,6,0,29.5,51.5,102.5,96,78,11.5,11.5,0,0,386.5
1979-80,23,0,0,56,100,133.5,66.5,38,26.5,1,0,444.5
1980-81,4,0,0,19,71.5,17.5,98,15,5,0,0,230
1981-82,0,0,94,29.5,130.5,28.5,139,74.5,6.5,0,0,502.5
1982-83,13,0,42,105.5,118.5,97.7,112.3,52,5.3,0,0,546.3
1983-84,19,0,60.4,101.6,7.3,32.2,21.8,28.4,2.6,0,0,273.3
1984-85,6,0,51.5,43.1,25.6,45,65.6,0,0,0,0,236.8
1985-86,0,0,94.2,45.1,35.8,168.8,69.4,15.3,5,0,0,433.6
1986-87,5,0,0,0,54.7,69.9,58,8.2,0,0,0,195.8
1987-88,0,0,27,66.1,76.7,9.3,11.1,33.1,6.7,0,0,230
1988-89,0,0,34.2,74.7,10.2,35.8,67,12.7,16.8,0,0,251.4
1989-90,0,16,17.9,2,62.5,71.8,23,17.1,4,0,0,214.3
1990-91,0,0,6.8,27.8,11.4,6.3,176,5.9,7.8,0,0,242
1991-92,17,0,24.2,45.1,16.7,94.9,24,4.1,0,0,0,226
1992-93,0,23.5,0.5,102.1,161.5,134.5,38.3,11.9,0.2,0,0,472.5
1993-94,0,0,19.2,27.2,27.8,118.4,25.3,39.4,17.8,0,0,275.1
1994-95,0,0,87.3,53.7,182,17.7,139.7,34,25.8,0,0,540.2
1995-96,0,0,0,52.7,76.6,106.4,41.7,40.1,3.7,0,0,321.2
1996-97,5,25.5,33.4,130.2,121.6,6.5,0.1,1.5,0,0,0,323.8
1997-98,1,0,36.5,41.7,98.2,159.3,58.7,35,21,0,0,451.4
1998-99,5,0,40.5,37,78.5,73.8,42.5,55.1,0,0,0,332.4
1999-0,0,0,21.5,3.1,121.4,136.1,48.6,41,11,0,0,382.7
2000-1,0,38,22.8,9,68.8,124.1,60.3,70.9,0,0,0,393.9
2001-2,0,6,43.8,97.1,37.4,28.1,45.5,25.9,15.8,0,0,299.6
2002-3,3,0,25,134.4,8.6,33.9,30.3,96,24.8,0,0,356
2003-4,6,0,23,124.9,51.6,108.6,20.9,13.7,0.2,0,0,348.9
2004-5,0,85.6,28.3,109.3,127,72.9,85.6,35.5,25.1,0.8,0,570.1
2005-6,0,0,23.4,107.8,112.4,48.1,164.1,118.4,4.3,0,0,578.5
2006-7,0,4,5.5,56.6,11,100.5,13,26.5,5,0,0,222.1
2007-8,10,1,4.5,65.5,126.5,89,16.5,2.5,18,0,0,333.5
2008-9,0,10,26.5,120.5,63,144,62.5,30,11.5,2,0,470
2009-10,0,34,21,103,127,108,62.5,84.9,17.5,0,0,557.9
2010-11,0,10,88,209,29,92,177.5,31,27.5,4.5,0,668.5
2011-12,0,19.5,30,2,56,34.5,79,42,0,0,0,263
2012-13,0,18,60.7,147.1,26,10,29,14,3.5,0,0,308.3
2013-14,0,10,10.5,24.5,15,68.5,56.5,47,6,0,0,238
2014-15,0,0,13.1,63.5,2.6,33,7.5,28.3,28,0,0,176
2015-16,0,0,56,71,110,20,85,16,3.2,1,0,362.2
2016-17,0,10,19,75,245.5,163,30,67,7,1,0,617.5
2017-18,4,1,34,3,36,28,142,10,4,0,0,262
2018-19,0,0,55,26,93,207,68,11,32,0,0,492
2019-20,0,0,54,71,13,0,0,0,0,0,0,138
