Date,Squaw-Siberia 8700',Squaw-Belmont 8000',Squaw-Red Dog 6200',Alpine-Summit 8643' (Ward Mt.),Alpine-Scott Btm 7075',Alpine-Scott Top 8120',Alpine-Roundhouse Btm 6950',Alpine-Roundhouse Top 7880',Alpine-Hot Wheels Top 7555',Alpine-Yellow Valve House 7640',Alpine-Sherwood Btm 7115',Squaw-Funitel Top
12/31/19,,72.4,83.8,,,,38.7,,,,,
12/30/19,,73.2,83.9,,,,39.1,,,,,
12/29/19,,73.8,78.2,,,,39.7,,,,,
12/28/19,,73.6,85.3,,,,39.7,,,,,
12/27/19,,74.4,19.5,,,,40.1,,,,,
12/26/19,,75.2,82.3,,,,40.6,,,,,
12/25/19,,74.6,15.5,,,,41,,,,,
12/24/19,,75.2,14.9,,,,41.9,,,,,
12/23/19,,76.5,13.4,,,,43.1,,,,,
12/22/19,,73.9,11,,,,39,,,,,
12/21/19,,72.5,83.3,,,,34.6,,,,,
12/20/19,,65.5,77.6,,,,35.5,,,,,
12/19/19,,66.6,13,,,,36,,,,,
12/18/19,,50.2,11.5,,,,36.2,,,,,
12/17/19,,68.1,17.9,,,,36.8,,,,,
12/16/19,,68.6,20.4,,,,37.5,,,,,
12/15/19,,69.4,19.9,,,,38.5,,,,,
12/14/19,,71.5,13.5,,,,40.6,,,,,
12/13/19,,67.6,81.9,,,,35.3,,,,,
12/12/19,,59.5,81.7,,,,28.7,,,,,
12/11/19,,62.6,83,,,,32.4,,,,,
12/10/19,,59.9,72.8,,,,31.1,,,,,
12/9/19,,61,83.4,,,,32.3,,,,,
12/8/19,,61.4,84,,,,30.7,,,,,
12/7/19,,58.1,81.4,,,,26.7,,,,,
12/6/19,,7.5,80.7,,,,21.2,,,,,
12/5/19,,5.4,81.5,,,,19.3,,,,,
12/4/19,,43.8,82,,,,,,,,,
12/3/19,,43.4,81.5,,,,18.9,,,,,
12/2/19,,47.4,81.9,,,,20.8,,,,,
12/1/19,,43.3,81,,,,19.4,,,,,
11/30/19,,29,84.3,,,,21.1,,,,,
11/29/19,,29.6,17.9,,,,23.4,,,,,
11/28/19,,26.3,15.5,,,,20.9,,,,,
11/27/19,,16,17.5,,,,16.5,,,,,
11/26/19,,6.8,,,,,6.1,,,,,
11/25/19,,0.3,1.4,,,,0.3,,,,,
11/24/19,,,0.3,,,,0,,,,,
11/23/19,,,2.2,,,,1,,,,,
11/22/19,,75,,,,,1.5,,,,,
11/21/19,,75,,,,,1.3,,,,,
11/20/19,,75,,,,,0.1,,,,,
11/19/19,,0.3,,,,,0.7,,,,,
11/18/19,,0,,,,,0,,,,,
11/17/19,,0.2,,,,,0,,,,,
11/16/19,,0.1,,,,,0,,,,,
11/15/19,,0,,,,,0.6,,,,,
11/14/19,,0,,,,,0,,,,,
11/13/19,,,,,,,0.1,,,,,
11/12/19,,,,,,,0,,,,,
11/11/19,,,,,,,0,,,,,
11/10/19,,,,,,,0,,,,,
11/9/19,,,,,,,0,,,,,
11/8/19,,,,,,,0,,,,,
11/7/19,,0.2,,,,,0,,,,,
11/6/19,,79.1,16.1,,,,0,,,,,
11/5/19,,,15.9,,,,1.3,,,,,
11/4/19,,,8.9,,,,1.2,,,,,
11/3/19,,,13.6,,,,1.5,,,,,
11/2/19,,,2.7,,,,1.1,,,,,
11/1/19,,,13.6,,,,1.4,,,,,
10/31/19,,,16.2,,,,2,,,,,
10/30/19,,,5.2,,,,1.4,,,,,
10/29/19,,,14.7,,,,1.8,,,,,
